"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"GRAD","74104",1
"GRAD","74820",1
"GRAD","75033",1
"GRAD","75205",1
"GRAD","75243",1
"GRAD","76001",1
"GRAD","76227",1
"GRAD","76248",1
"GRAD","76302",1
"GRAD","77019",1
"GRAD","77021",1
"GRAD","77338",1
"GRAD","77385",1
"GRAD","77449",1
"GRAD","77450",1
"GRAD","78009",1
"GRAD","78052",1
"GRAD","78201",1
"GRAD","78665",1
"GRAD","79936",1
"GRAD","80231",1
"GRAD","80234",1
"GRAD","80303",1
"GRAD","80524",1
"GRAD","80525",1
"GRAD","80526",1
"GRAD","80534",1
"GRAD","80903",1
"GRAD","80912",1
"GRAD","80922",1
"GRAD","81458",1
"GRAD","81501",1
"GRAD","82126",1
"GRAD","82801",1
"GRAD","83301",1
"GRAD","83401",1
"GRAD","83440",1
"GRAD","83442",1
"GRAD","84009",1
"GRAD","84010",1
"GRAD","84015",1
"GRAD","84020",1
"GRAD","84032",1
"GRAD","84043",1
"GRAD","84044",1
"GRAD","84057",1
"GRAD","84059",1
"GRAD","84062",1
"GRAD","84096",1
"GRAD","84098",1
"GRAD","84106",1
"GRAD","84118",1
"GRAD","84121",2
"GRAD","84302",1
"GRAD","84321",2
"GRAD","84401",1
"GRAD","84404",1
"GRAD","84534",1
"GRAD","84601",2
"GRAD","84663",1
"GRAD","84757",1
"GRAD","84770",3
"GRAD","84780",2
"GRAD","84790",3
"GRAD","85083",1
"GRAD","85250",1
"GRAD","85258",1
"GRAD","85286",1
"GRAD","85297",1
"GRAD","85307",1
"GRAD","86326",1
"GRAD","87121",1
"GRAD","88117",1
"GRAD","89001",1
"GRAD","89002",74
"GRAD","89005",14
"GRAD","89007",1
"GRAD","89008",2
"GRAD","89009",1
"GRAD","89011",65
"GRAD","89012",75
"GRAD","89013",1
"GRAD","89014",99
"GRAD","89015",46
"GRAD","89016",2
"GRAD","89021",8
"GRAD","89025",1
"GRAD","89027",3
"GRAD","89029",3
"GRAD","89030",21
"GRAD","89031",101
"GRAD","89032",51
"GRAD","89040",1
"GRAD","89044",58
"GRAD","89048",3
"GRAD","89052",118
"GRAD","89060",6
"GRAD","89061",2
"GRAD","89074",151
"GRAD","89077",1
"GRAD","89081",54
"GRAD","89084",76
"GRAD","89085",7
"GRAD","89086",14
"GRAD","89101",22
"GRAD","89102",26
"GRAD","89103",71
"GRAD","89104",62
"GRAD","89105",1
"GRAD","89106",19
"GRAD","89107",34
"GRAD","89108",69
"GRAD","89109",17
"GRAD","89110",63
"GRAD","89112",1
"GRAD","89113",94
"GRAD","89115",35
"GRAD","89117",112
"GRAD","89118",30
"GRAD","89119",282
"GRAD","89120",55
"GRAD","89121",98
"GRAD","89122",73
"GRAD","89123",121
"GRAD","89128",60
"GRAD","89129",87
"GRAD","89130",52
"GRAD","89131",82
"GRAD","89133",2
"GRAD","89134",33
"GRAD","89135",42
"GRAD","89137",1
"GRAD","89138",52
"GRAD","89139",101
"GRAD","89141",90
"GRAD","89142",47
"GRAD","89143",25
"GRAD","89144",49
"GRAD","89145",36
"GRAD","89146",17
"GRAD","89147",89
"GRAD","89148",117
"GRAD","89149",67
"GRAD","89151",1
"GRAD","89154",2
"GRAD","89156",31
"GRAD","89158",3
"GRAD","89166",71
"GRAD","89169",30
"GRAD","89170",1
"GRAD","89178",96
"GRAD","89179",28
"GRAD","89183",102
"GRAD","89191",3
"GRAD","89301",2
"GRAD","89318",1
"GRAD","89319",1
"GRAD","89408",1
"GRAD","89411",1
"GRAD","89415",1
"GRAD","89419",1
"GRAD","89431",1
"GRAD","89433",1
"GRAD","89434",2
"GRAD","89436",3
"GRAD","89441",2
"GRAD","89448",1
"GRAD","89501",1
"GRAD","89502",4
"GRAD","89503",3
"GRAD","89506",4
"GRAD","89508",1
"GRAD","89509",3
"GRAD","89510",2
"GRAD","89511",4
"GRAD","89512",2
"GRAD","89519",3
"GRAD","89521",4
"GRAD","89523",5
"GRAD","89703",2
"GRAD","89706",2
"GRAD","89801",3
"GRAD","89815",3
"GRAD","89835",1
"GRAD","89905",1
"GRAD","90020",1
"GRAD","90026",1
"GRAD","90029",2
"GRAD","90037",1
"GRAD","90063",1
"GRAD","90212",1
"GRAD","90220",1
"GRAD","90232",1
"GRAD","90247",2
"GRAD","90249",1
"GRAD","90250",1
"GRAD","90255",1
"GRAD","90262",1
"GRAD","90280",1
"GRAD","90301",2
"GRAD","90503",2
"GRAD","90504",1
"GRAD","90638",1
"GRAD","90650",1
"GRAD","90703",1
"GRAD","90731",1
"GRAD","90745",1
"GRAD","90804",1
"GRAD","91311",1
"GRAD","91342",1
"GRAD","91360",2
"GRAD","91402",1
"GRAD","91423",1
"GRAD","91501",1
"GRAD","91702",1
"GRAD","91709",1
"GRAD","91739",1
"GRAD","91744",1
"GRAD","91745",1
"GRAD","91762",1
"GRAD","91780",1
"GRAD","91786",1
"GRAD","91789",1
"GRAD","91790",1
"GRAD","91801",1
"GRAD","91803",1
"GRAD","92064",1
"GRAD","92104",1
"GRAD","92107",1
"GRAD","92110",1
"GRAD","92114",1
"GRAD","92120",1
"GRAD","92122",1
"GRAD","92126",1
"GRAD","92129",1
"GRAD","92253",1
"GRAD","92284",1
"GRAD","92336",2
"GRAD","92345",1
"GRAD","92373",1
"GRAD","92395",1
"GRAD","92407",1
"GRAD","92509",1
"GRAD","92530",2
"GRAD","92532",1
"GRAD","92592",2
"GRAD","92603",1
"GRAD","92620",1
"GRAD","92627",1
"GRAD","92647",1
"GRAD","92691",2
"GRAD","92703",1
"GRAD","92704",1
"GRAD","92705",1
"GRAD","92782",1
"GRAD","92801",1
"GRAD","92833",1
"GRAD","92868",1
"GRAD","92879",1
"GRAD","92880",1
"GRAD","92883",1
"GRAD","93003",1
"GRAD","93010",1
"GRAD","93033",1
"GRAD","93041",1
"GRAD","93215",1
"GRAD","93247",1
"GRAD","93250",1
"GRAD","93291",1
"GRAD","93311",1
"GRAD","93455",2
"GRAD","93458",1
"GRAD","93551",1
"GRAD","93657",2
"GRAD","93720",1
"GRAD","93722",1
"GRAD","93727",1
"GRAD","93940",1
"GRAD","94121",1
"GRAD","94533",1
"GRAD","94534",2
"GRAD","94538",1
"GRAD","94542",1
"GRAD","94550",1
"GRAD","94577",1
"GRAD","94598",1
"GRAD","94804",1
"GRAD","95037",1
"GRAD","95051",1
"GRAD","95129",1
"GRAD","95132",1
"GRAD","95355",1
"GRAD","95380",1
"GRAD","95388",1
"GRAD","95460",1
"GRAD","95492",1
"GRAD","95673",1
"GRAD","95678",1
"GRAD","95757",1
"GRAD","95823",1
"GRAD","95835",1
"GRAD","95842",1
"GRAD","96001",1
"GRAD","96021",1
"GRAD","96716",1
"GRAD","96720",2
"GRAD","96744",1
"GRAD","96760",1
"GRAD","96761",1
"GRAD","96762",1
"GRAD","96768",1
"GRAD","96782",3
"GRAD","96789",1
"GRAD","96792",1
"GRAD","96797",2
"GRAD","96799",3
